--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
092.443  000.066  000.036: require('cmp.types.lsp')
092.465  000.021  000.021: require('cmp.types.vim')
092.467  000.142  000.030: require('cmp.types')
092.490  000.022  000.022: require('cmp.utils.highlight')
092.534  000.020  000.020: require('cmp.utils.debug')
092.538  000.047  000.027: require('cmp.utils.autocmd')
092.779  000.009  000.009: sourcing nvim_exec2() called at /home/ususstudios/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua:0
092.782  000.528  000.272: sourcing /home/ususstudios/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua
092.784  000.560  000.033: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
092.788  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
092.795  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
092.968  000.053  000.053: require('cmp.utils.char')
092.973  000.084  000.031: require('cmp.utils.str')
093.056  000.021  000.021: require('cmp.utils.buffer')
093.061  000.059  000.039: require('cmp.utils.keymap')
093.063  000.089  000.029: require('cmp.utils.feedkeys')
093.159  000.030  000.030: require('cmp.config.mapping')
093.187  000.027  000.027: require('cmp.utils.cache')
093.245  000.028  000.028: require('cmp.config.compare')
093.267  000.021  000.021: require('cmp.config.window')
093.268  000.080  000.031: require('cmp.config.default')
093.278  000.178  000.041: require('cmp.config')
093.286  000.223  000.045: require('cmp.utils.async')
093.335  000.022  000.022: require('cmp.utils.pattern')
093.337  000.050  000.029: require('cmp.context')
093.460  000.052  000.052: require('cmp.utils.snippet')
093.487  000.026  000.026: require('cmp.matcher')
093.880  000.510  000.432: require('cmp.entry')
093.885  000.547  000.037: require('cmp.source')
093.946  000.024  000.024: require('cmp.utils.event')
094.036  000.033  000.033: require('cmp.utils.options')
094.039  000.066  000.033: require('cmp.utils.window')
094.040  000.094  000.028: require('cmp.view.docs_view')
094.090  000.049  000.049: require('cmp.view.custom_entries_view')
094.126  000.035  000.035: require('cmp.view.wildmenu_entries_view')
094.156  000.029  000.029: require('cmp.view.native_entries_view')
094.191  000.034  000.034: require('cmp.view.ghost_text_view')
094.196  000.310  000.045: require('cmp.view')
094.610  001.766  000.464: require('cmp.core')
094.749  000.031  000.031: require('cmp.config.sources')
094.774  001.976  000.178: require('cmp')
095.273  000.423  000.423: require('luasnip.util.vimversion')
095.277  000.460  000.037: require('luasnip.util.util')
095.406  000.040  000.040: require('luasnip.util.path')
095.463  000.022  000.022: require('luasnip.session.snippet_collection.source')
095.486  000.022  000.022: require('luasnip.util.table')
095.508  000.021  000.021: require('luasnip.util.auto_table')
095.512  000.104  000.038: require('luasnip.session.snippet_collection')
095.555  000.043  000.043: require('luasnip.util.log')
095.560  000.283  000.096: require('luasnip.loaders.util')
095.623  000.060  000.060: require('luasnip.loaders.fs_watchers')
095.651  000.027  000.027: require('luasnip.loaders.data')
095.674  000.022  000.022: require('luasnip.session.enqueueable_operations')
095.852  000.026  000.026: require('luasnip.util.str')
095.874  000.020  000.020: require('luasnip.nodes.key_indexer')
095.917  000.042  000.042: require('luasnip.util.feedkeys')
095.968  000.050  000.050: require('luasnip.nodes.util.snippet_string')
095.974  000.184  000.045: require('luasnip.nodes.util')
096.002  000.027  000.027: require('luasnip.util.events')
